id,matter_mg,anti_mg,confinement_pct,efficiency_pct,reactivity_pct,field_gradient_pct,speed_pct,total_energy_j,avg_power_w,stability_index,pair_events,threshold_events,gamma_gamma_share_pct,gamma_meson_share_pct,meson_share_pct
62,300,300,35,96,70,35,30,3.596126e+13,6.174667e+12,7.335297e-01,1.556001e+25,6.267391e+25,5.728407e+01,3.924669e+01,3.469246e+00
63,300,300,35,96,70,55,30,3.538655e+13,6.075987e+12,6.605642e-01,1.507118e+25,6.657545e+25,5.333542e+01,4.317108e+01,3.493496e+00
64,300,300,35,96,70,75,30,3.477607e+13,5.971165e+12,5.884515e-01,1.449547e+25,7.028725e+25,4.935235e+01,4.713012e+01,3.517536e+00
65,300,300,55,60,12,15,30,1.506635e+13,2.586942e+12,8.310684e-01,1.441643e+25,3.847728e+25,6.146056e+01,3.510202e+01,3.437424e+00
66,300,300,55,60,12,35,30,1.464402e+13,2.514427e+12,7.653237e-01,1.376285e+25,4.041833e+25,5.778580e+01,3.875867e+01,3.455532e+00
67,300,300,55,60,12,55,30,1.416044e+13,2.431394e+12,6.937858e-01,1.291380e+25,4.217879e+25,5.389228e+01,4.262909e+01,3.478632e+00
68,300,300,55,60,12,75,30,1.364887e+13,2.343556e+12,6.221236e-01,1.198601e+25,4.366460e+25,4.996436e+01,4.653407e+01,3.501573e+00
69,300,300,55,60,25,15,30,1.879847e+13,3.227760e+12,8.303241e-01,1.799934e+25,4.797688e+25,6.149030e+01,3.507311e+01,3.436591e+00
70,300,300,55,60,25,35,30,1.839151e+13,3.157883e+12,7.659793e-01,1.731515e+25,5.068247e+25,5.786168e+01,3.868486e+01,3.453458e+00
71,300,300,55,60,25,55,30,1.791010e+13,3.075223e+12,6.945415e-01,1.636620e+25,5.326681e+25,5.397192e+01,4.255157e+01,3.476506e+00
72,300,300,55,60,25,75,30,1.738824e+13,2.985618e+12,6.222793e-01,1.529446e+25,5.556826e+25,5.002433e+01,4.647566e+01,3.500009e+00
73,300,300,55,60,45,15,30,2.217985e+13,3.808354e+12,8.295962e-01,2.126653e+25,5.652495e+25,6.155530e+01,3.500993e+01,3.434771e+00
74,300,300,55,60,45,35,30,2.182816e+13,3.747967e+12,7.671350e-01,2.059819e+25,6.003029e+25,5.796084e+01,3.858842e+01,3.450748e+00
75,300,300,55,60,45,55,30,2.138796e+13,3.672382e+12,6.945971e-01,1.958860e+25,6.350115e+25,5.406201e+01,4.246389e+01,3.474101e+00
76,300,300,55,60,45,75,30,2.091268e+13,3.590776e+12,6.225349e-01,1.842807e+25,6.675293e+25,5.009059e+01,4.641113e+01,3.498281e+00
